[[OVERALL_VIEW]]
Participants: 149
2026 SFRSCCA #08 Live Results
Date: 2026-08-22

Overall Class PAX

Overall
Rank	Driver	Class - Number	Time
140	Kris Ludwig	BST #151	84.524
141	Raymond Ha	N-CST #23	89.110
142	Krystal Lam	N-CS #87	92.213
143	Arjun Narendranath	SMP-DSP #24	94.445
144	Michael Bowen	S4-GS #331	107.645
145	Andrei Malyshev	N-GS #77	999.000
145	Frank Frick	BST #28	999.000
145	Mark Wortman	N-CAMC #99	999.000
145	Steven Stone	CAM-CAMC #22	999.000
145	Gabe Matsubayashi	N-CAMS #411	999.000
